agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,680,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,685,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,690,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,695,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,700,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,705,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,710,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,715,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,720,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,725,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,730,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,735,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,740,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,745,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,750,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,755,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,760,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,765,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,770,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,775,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,780,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,785,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,790,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,795,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,800,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,805,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,810,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,815,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,820,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,825,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,830,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,835,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,840,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,845,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,850,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,855,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,860,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,865,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,870,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,875,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,880,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,885,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,890,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,895,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,900,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,905,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,910,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,915,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,920,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,925,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,930,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,935,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,940,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,945,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,950,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,955,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,960,0.5,5,SWITCH
